name,status,street,city,state,zip,phone,Latitude,Longitude,"Accuracy Score",Street,City,State,County,Zip
"Elle Style Salon Sola",,"3224 A W Cart St  unit 8",Richmond,VA,23221,"(804) 833-3374",37.627788,-77.602450499999,1,"3224 A W Cart St",Richmond,VA,"Richmond city",23221
"Elsewhere Salon","Eufora exclusive","431 E State Street",Redlands,CA,92373,909-435-9172,34.056450469388,-117.17754928571,1,"431 E State St",Redlands,CA,"San Bernardino County",92374
"Em Hair Studio",,"912 And A Half South Broadway","Santa Maria",CA,93454,"(805) 354-0702",34.836252,-120.53421,0.33," ","Santa Maria",CA,"Santa Barbara County",93457
"Embrace Salon And Spa","Eufora exclusive","123 West Washington St",Marquette,MI,49855,"(906) 228-3050",46.543499714286,-87.394788,1,"123 W Washington St",Marquette,MI,"Marquette County",49855
"Emerald Salon",,"31 South 4 Th Street",Warrenton,VA,20186,"(540) 347-3580",38.765619,-77.820293,0.33," ",Warrenton,VA,"Fauquier County",20188
"Emerge Modern Salon","Eufora semi exclusive","1513 S Holly St",Denver,CO,80222,720-862-8676,39.68869925,-104.9223295,1,"1513 S Holly St",Denver,CO,"Denver County",80222
"Emerson Joseph",,"221 South Tryon",Charlotte,NC,28281,704-343-3443,35.250841,-80.820091,0.33," ",Charlotte,NC,"Mecklenburg County",28206
"Empyrean Day Spa And Salon Inc",,"5480 Route 6N",Edinboro,PA,16412,814-734-1909,41.871286,-80.120436,0.33," ",Edinboro,PA,"Erie County",16444
"Encore Salon And Spa",,"203 South Main Street","N Syracuse",NY,13212,315-214-0288,,,0,,,,,
"Entourage Hair Designers","Eufora exclusive","9431 North Meridian",Indianapolis,IN,46260,317-571-1120,39.779492,-86.132837,0.33," ",Indianapolis,IN,"Marion County",46298
"Envision Salon And Spa","Eufora semi exclusive","3245 Business Park Drive Suite 1",Vista,CA,92081,760-727-0049,33.016928,-116.846046,0.33," ",Vista,CA,"San Diego County",92085
"Envy Salon",,"1150 Revolution Mill Dr Suite 2",Greensboro,NC,27405,336-273-2066,36.099719333333,-79.778948727273,1,"1150 Revolution Mill Dr",Greensboro,NC,"Guilford County",27405
"Envy Salon","Eufora exclusive","9200 Stony Point Parkway Suite 197",Richmond,VA,23235,804-359-4070,37.550379481785,-77.571813945644,1,"9200 Stony Point Pkwy","Bon Air",VA,"Chesterfield County",23235
"Envy Salon And Spa",,"16 West King Street",Shippensburg,PA,17257,"(717) 530-3689",40.050387416667,-77.521165416667,1,"16 W King St",Shippensburg,PA,"Cumberland County",17257
"Epic Design Studio",,"320 Sandown Rd","E Hampstead",NH,3053,603-329-4744,,,0,,,,,
"Epiphany Salon And Spa",,"14700 Tamiami Trail North Suite 13",Naples,FL,34110,"239 594-1800",26.21396932653,-81.800484632653,1,"14700 Tamiami Trl N",Naples,FL,"Collier County",34108
"Erica Herrera",,"515 Five Cities Drive","Pismo Beach",CA,93449,805-773-6081,35.136245893939,-120.62537374242,0.8,"515 Five Cities Dr","Pismo Beach",CA,"San Luis Obispo County",93449
"Erin Curtiss At My Own Salon",,"2818 Fishinger Rd",Columbus,OH,43221,614-440-1605,40.03006125,-83.0914192,1,"2818 Fishinger Rd",Columbus,OH,"Franklin County",43221
"Erins Salon Etc Inc","Eufora semi exclusive","426 N Lewis Rd",Royersford,PA,19468,610-495-4545,40.201337,-75.538454,1,"426 N Lewis Rd",Royersford,PA,"Montgomery County",19468
"Escape Day Spa",,"126227 Galveston Ct",Woodbridge,VA,22192,703-670-6664,38.09991544444,-78.313620111117,1,"126227 Galveston Ct",Woodbridge,VA,"Prince William County",22192
"Escape Salon And Spa","Eufora semi exclusive","25115 Madison Ave Suite102",Murrietta,CA,92562,951-677-3510,33.548299,-117.344739,0.22," ",Murrieta,CA,"Riverside County",92562
"Escape Salon And Spa",,"32246 Clinton Keith Road",Wildomar,CA,92595,951-678-3222,33.600928186047,-117.04104046512,1,"32246 Clinton Keith Rd",Wildomar,CA,"Riverside County",92595
"Essentials C O The Spa 360 Hair Salon",,"3975 W Boyton Beach Blvd","Boyton Beach",FL,33435,"561 577-7442",,,0,,,,,
"Evocative Salon",,"300 Main  Street",Roseville,CA,95678,916-412-2574,38.75193,-121.28854,1,"300 Main St",Roseville,CA,"Placer County",95678
Evolution,,"15 Bay St",Winslow,ME,4901,207-649-6101,44.545249375,-69.6257868125,1,"15 Bay St",Waterville,ME,"Kennebec County",04901
"Evolve Salon Llc","Eufora exclusive","2151 Fisher Road Suite 102",Mechanicsburg,PA,17055,"(717) 458-5508",40.171605,-76.995316,1,"2151 Fisher Rd",Mechanicsburg,PA,"Cumberland County",17055
"Excel Salon",,"405 South Neil Street",Champaign,IL,61820,"(217) 352-4052",40.073755967742,-88.248646548387,1,"405 S Neil St",Champaign,IL,"Champaign County",61820
"Exotic Tans And Spa",,"W5136 County Rd D637",Plymouth,WI,53073,"(920) 892-4600",43.768454,-87.975773,0.33," ",Plymouth,WI,"Sheboygan County",53073
Expectations,"Eufora semi exclusive","17030 York Road",Pierkton,MD,21120,410-343-2027,33.603543,-86.466833,0.22," ",Moody,AL,"St. Clair County",35004
Expectations,,"87 Main St 2Nd Floor","West Lebanon",NH,3784,603-2987900,43.637148,-72.23546,0.33," ",Lebanon,NH,"Grafton County",03766
"Experience Salon",,"105 Main Street",Oswego,IL,60543,"(815) 210-8219",41.6834026,-88.352705,1,"105 Main St",Oswego,IL,"Kendall County",60543
"Fab Hair And Skin","Eufora exclusive","8933 Technology Dr",Fishers,IN,46038,317-727-8734,39.96118,-86.007179,1,"8933 Technology Dr",Fishers,IN,"Hamilton County",46038
"Fawne Graves",,"2938 Limited Lane Nw",Olympia,WA,98502,360-704-8742,47.047792705882,-122.93898952941,1,"2938 Limited Ln NW",Olympia,WA,"Thurston County",98502
"Fiorilli Hair Design",,"50 Mount Bethel Road",Warren,NJ,7059,"(908) 753-7717",40.620752333333,-74.496500333333,1,"50 Mount Bethel Rd",Warren,NJ,"Somerset County",07059
"Firefly Salon",,"18 E Broadway",Derry,NH,3038,603-965-0317,42.88113375,-71.32572975,1,"18 E Broadway",Derry,NH,"Rockingham County",03038
"First Impressions Hair Salon",,"149 E 3rd St","Imlay City",MI,48444,810-724-2484,43.024377204082,-83.076683183673,1,"149 E 3rd St","Imlay City",MI,"Lapeer County",48444
"Five Star Hair Day Spa And Nails","Eufora semi exclusive","5723 Burke Center Parkway",Burke,VA,22015,703-250-4000,38.799684076382,-77.321804771638,1,"5723 Burke Centre Pkwy",Burke,VA,"Fairfax County",22015
Flawless,,"9 Main Street",Brockton,MA,2301,"(508) 427-6263",42.084853363636,-71.019851636364,1,"9 Main St",Brockton,MA,"Plymouth County",02301
"Flawless Silhouettes","Eufora exclusive","8820 Maryland Pkwy Suite115","Las Vegas",NV,89123,702-476-3752,36.028353081633,-115.136152,1,"8820 Maryland Pkwy","Las Vegas",NV,"Clark County",89123
"Flor New Look","Eufora exclusive","1223 3Rd Ave Suite F","Chula Vista",CA,91911,619-422-2433,32.638201,-117.05552830435,1,"1223 3rd Ave","Chula Vista",CA,"San Diego County",91911
Focas,"Eufora semi exclusive","870 S Randall Rd","St  Charles",IL,60175,630-978-0113,,,0,,,,,
Folica,"Eufora semi exclusive","109 Paisley Street",Greensboro,NC,27401,336-383-1900,36.077321666667,-79.790771,1,"109 Paisley St",Greensboro,NC,"Guilford County",27401
"Forbici Salon",,"15618 Detroit Ave",Lakewood,OH,44107,216-227-0077,41.485135857143,-81.806899979592,1,"15618 Detroit Ave",Lakewood,OH,"Cuyahoga County",44107
Fortunatos,"Eufora exclusive","305 Vine Street",Liverpool,NY,13088,315-451-7892,43.102820040816,-76.20638444898,1,"305 Vine St",Liverpool,NY,"Onondaga County",13088
"Foundation Hair Studio","Eufora semi exclusive","2727 E 2Nd Ave",Denver,CO,80206,720-542-9511,39.719398408163,-104.95494820408,1,"2727 E 2nd Ave",Denver,CO,"Denver County",80206
"Fox and Co",,"85 Covert Ave","Floral Park",NY,11001,516-355-0756,,,0,,,,,
"Fox and Co Salon and Day Spa","Eufora semi exclusive","85 Covert Ave","Floral Park",NY,11001,516-355-0756,,,0,,,,,
"Franks Gentlemens Salon",,"4141 Tamiami Trail",Sarasota,FL,34231,941-926-2631,27.370671666667,-82.552868083333,1,"4141 Tamiami Trl",Sarasota,FL,"Sarasota County",34234
"Franks Gentlemens Salon",,"5 East Coffee Street",Greenville,SC,29601,864-451-7755,34.851290387755,-82.397721979592,1,"5 E Coffee St",Greenville,SC,"Greenville County",29601
"Franks Gentlemens Salon",,"717 Lady St  Suite A",Columbia,SC,29201,803-667-9198,34.000097285714,-81.042251428571,1,"717 Lady St",Columbia,SC,"Richland County",29201
"French Twist","Eufora exclusive","320 K Street","San Diego",CA,92101,619-237-6197,32.712552795918,-117.16125106122,1,"320 K St","San Diego",CA,"San Diego County",92101
Fringe,"Eufora semi exclusive","140 Drury Dr","La Plata",MD,20646,240-216-6703,38.547690817073,-76.983900865854,0.8,"140 Drury Dr","La Plata",MD,"Charles County",20646
"Fringe Hair And Nail Studio",,"4500 Fritchey Street",Harrisburg,PA,17109,"(717) 540-1559",40.300117,-76.815178,1,"4500 Fritchey St",Harrisburg,PA,"Dauphin County",17109
"Fringe Salon",,"6741 North Palm Ave",Fresno,CA,93704,559-439-8383,36.8357722,-119.8083064,1,"6741 N Palm Ave",Fresno,CA,"Fresno County",93704
"Fringe Salon",,"11615 Rest Drive","La Plata",MD,20646,"(240) 216-6703",38.455499058824,-76.911834647059,1,"11615 Rest Dr","La Plata",MD,"Charles County",20646
"Fringe Salon",,"1400 Kempsville Rd 106",Chesapeake,VA,23320,"(757) 277-9932",36.764045264631,-76.201926750697,1,"1400 Kempsville Rd",Chesapeake,VA,"Chesapeake city",23320
"Fringe Salon","Eufora semi exclusive","312 E Colby",Whitehall,MI,49461,231-893-8888,43.345831,-86.327092,0.33," ",Whitehall,MI,"Muskegon County",49461
"Fringe Salon Inc","Eufora semi exclusive","207 Brooklea Dr",Fayetteville,NY,13066,315-637-4100,43.031553510204,-76.012274836735,1,"207 Brooklea Dr",Fayetteville,NY,"Onondaga County",13066
"Fringe Salon LLC","Eufora semi exclusive","143 E Prairie Ave",Decatur,IL,62523,217-424-0079,39.84250473913,-88.954884913043,1,"143 E Prairie Ave",Decatur,IL,"Macon County",62523
"Front Street Salon","Eufora exclusive","128 East Front St",Perrysburg,OH,43551,419-873-0407,41.561009714286,-83.628439857143,1,"128 E Front St",Perrysburg,OH,"Wood County",43551
"Frumoasa Salon 2","Eufora Exclusive","1229 J Street",Sacramento,CA,95814,916-917-5163,38.579284425532,-121.48960191489,1,"1229 J St",Sacramento,CA,"Sacramento County",95814
"Frumoasa Salon and Spa","Eufora semi exclusive","1007 12th Street",Sacramento,CA,95814,916-498-9895,38.5255648,-121.5072832,1,"1007 12th St",Sacramento,CA,"Sacramento County",95822
"Fusion Salon","Eufora exclusive","150 County Rd B Suite B",Shawano,WI,54166,715-526-1848,44.745058,-88.664156,0.33," ",Shawano,WI,"Shawano County",54166
"Fx Studio","Eufora semi exclusive","11270 Pepper Road","Hunt Valley",MD,21031,410-771-1500,39.489908232323,-76.65399330303,1,"11270 Pepper Rd","Hunt Valley",MD,"Baltimore County",21031
"G Alenas Salon","Eufora exclusive","31121 23 Mile Road",Chesterfield,MI,48047,586-598-1220,,,0,,,,,
"GJ Salon And Spa",,"1604 Washington St","Two Rivers",WI,54241,"(920) 794-7151",44.148675285714,-87.56828122449,1,"1604 Washington St","Two Rivers",WI,"Manitowoc County",54241
"G Salon Spa Store","Eufora semi exclusive","1959 Piedmont Rd",Atlanta,GA,30315,404-249-1661,33.810747083333,-84.367443,1,"1959 Piedmont Rd",Atlanta,GA,"Fulton County",30324
"Game On Cuts","Eufora exclusive","7520 Peach St",Erie,PA,16509,814-520-5856,42.0520296,-80.084125,1,"7520 Peach St",Erie,PA,"Erie County",16509
"Gary Charles",,"8035 Oxford Avenue",Philadelphia,PA,19111,"(215) 745-7967",40.078254,-75.086447,1,"8035 Oxford Ave",Philadelphia,PA,"Philadelphia County",19111
"Gateway To Gorgeous",,"226 West Hist Columbia River",Troutdale,OR,97060,503-667-8179,45.525007,-122.390049,0.33," ",Troutdale,OR,"Multnomah County",97060
"Gemini Salon And Spa",,"7 E Main St",Waukon,IA,52172,"(563) 568-9355",43.269256,-91.4752,1,"7 E Main St",Waukon,IA,"Allamakee County",52172
"Gettysburg Day Spa","Eufora semi exclusive","221 Chambersburg St",Gettysburg,PA,17325,717-334-8423,39.830865333333,-77.236108666667,1,"221 Chambersburg St",Gettysburg,PA,"Adams County",17325
"Gina Sullivan Studio 55","Eufora exclusive","1426 East Roseville Parkway",Roseville,CA,95661,530-305-9030,38.741221626263,-121.2283589697,1,"1426 E Roseville Pkwy","Granite Bay",CA,"Placer County",95746
"Giorgios Salon",,"30   19 Steinway Street",Astoria,NY,11103,718-274-6161,40.776026625,-73.902182,1,"30 19 Steinway St",Astoria,NY,"Queens County",11105
"Giorgios Salon",,"8140 Lefferts Blvd","Kew Gardens",NY,11415,718-849-4038,40.7935352,-73.777151666667,1,"8140 Lefferts Blvd","Kew Gardens",NY,"Queens County",11415
"Glam Salon","Eufora semi exclusive","350 N Aurora St",Easton,MD,21601,410-200-4631,38.783431571429,-76.071965714286,1,"350 N Aurora St",Easton,MD,"Talbot County",21601
"Glamour Garage","Eufora semi exclusive","3500 Kensington Ave",Richmond,VA,23221,757-237-2200,37.562401865523,-77.483545018607,1,"3500 Kensington Ave",Richmond,VA,"Richmond city",23221
"Glance Beautique",,"445 Carlsbad Village Drive",Carlsbad,CA,92008,760-434-1888,33.159180285714,-117.349369,1,"445 Carlsbad Village Dr",Carlsbad,CA,"San Diego County",92008
"Glimmer Salon","Eufora exclusive","3520 Seven Bridges Dr Suite 235",Woodridge,IL,60517,630-324-6049,41.766261938776,-88.069529918367,1,"3520 Seven Bridges Dr",Woodridge,IL,"DuPage County",60517
"Gloss Beauty Lounge","Eufora exclusive","1114 Brace Ave","San Jose",CA,95125,408-298-6702,37.19675775,-121.83105225,1,"1114 Brace Ave","San Jose",CA,"Santa Clara County",95120
"Katie Mammana Gloss Studio","Eufora exclusive","1641 N Sahuara Ave",Tucson,AZ,85712,520-245-2965,32.2434,-110.866677,1,"1641 N Sahuara Ave",Tucson,AZ,"Pima County",85712
"Goldy Locks",,"2220 Brightwell Place",Indianapolis,IN,46260,"(317) 385-0732",39.926574040816,-86.199426714286,1,"2220 Brightwell Pl",Indianapolis,IN,"Marion County",46260
"Goode Salon","Eufora semi exclusive","93 Main St",Andover,MA,1810,978-470-8884,42.65925775,-71.14281925,1,"93 Main St",Andover,MA,"Essex County",01810
"Grace Hair Studio",,"1919 Black River Blvd",Rome,NY,13440,315-533-5528,40.813884,-73.938498,0.33," ","New York",NY,"New York County",10037
"Graces Salon De Beaute","Eufora exclusive","501 S Douglas Street",Appleton,WI,54914,920-882-6405,44.256775,-88.430808,1,"501 S Douglas St",Appleton,WI,"Outagamie County",54914
"Great Looks 4 Less Hair",,"Us Highway 1 Mercer Mall Suite 13",Lawrenceville,NJ,8648,"(609) 378-5360",40.29733,-74.729605,0.3," ",Lawrenceville,NJ,"Mercer County",08648
"Green Lotus",,"94 West Street",Cromwell,CT,6416,860-398-5445,41.600815428571,-72.655629738095,0.8,"94 West St",Cromwell,CT,"Middlesex County",06416
"H2O Salon","Eufora exclusive","109 N Broadway",Urbana,IL,61801,217-337-1480,40.10593,-88.224669,0.33," ",Urbana,IL,"Champaign County",61803
"Haim Ltd  At Del Mar Plaza","Eufora Exclusive","1555 Camino Del Mar Suite 102","Del Mar",CA,92014,"(858) 259-0559",32.95949,-117.26531,0.33," ","Del Mar",CA,"San Diego County",92014
"Haim Ltd  At Park Hyatt Aviara Resort","Eufora Exclusive","7100 Aviara Resort Dr",Carlsbad,CA,92011,760-448-1234,33.016928,-116.846046,0.33," ",Carlsbad,CA,"San Diego County",92018
"Haim Ltd At Grand Del Mar Resort","Eufora Exclusive","5300 Grand Del Mar Ct","Del Mar",CA,92130,"(858) 314-2732",32.95949,-117.26531,0.33," ","Del Mar",CA,"San Diego County",92014
"Hair Addix",,"2585 Pio Pico Drive",Carlsbad,CA,92008,760-434-7073,33.170681,-117.344441,1,"2585 Pio Pico Dr",Carlsbad,CA,"San Diego County",92008
"Hair Apparent",,"San Carlos Between 7Th And 8Th","Carmel By The Sea",CA,93921,831-625-2090,36.555239,-121.923288,0.2," ",Carmel-by-the-Sea,CA,"Monterey County",93921
"Hair By Ari",,"1215 Jordon Street","North Liberty",IA,52317,"(319) 400-0414",41.763944,-91.604798,0.33," ","North Liberty",IA,"Johnson County",52317
"Hair By Paabo","Eufora semi exclusive","7700 G Wisconsin Avenue",Bethesda,MD,20814,301-654-5338,38.989586,-77.153801,0.33," ",Bethesda,MD,"Montgomery County",20817
"Hair By Tina Van Kirk","Eufora exclusive","142 A N El Camino Real Ste 117",Encinitas,CA,92024,760-518-3226,33.054154,-117.250253,0.33," ",Encinitas,CA,"San Diego County",92024
"Hair Care By Lynne",,"42 West Ave",Albion,PA,16401,814-756-5444,41.889749387097,-80.371034290323,1,"42 West Ave",Albion,PA,"Erie County",16401
"Hair Color Xperts Cary",,"133 Weston Parkway",Cary,NC,27513,919-678-1212,35.827954795918,-78.770939,1,"133 Weston Pkwy",Cary,NC,"Wake County",27513
"Hair Country",,"277 Elm St",Westfield,MA,1085,413-562-7867,42.136775307692,-72.739071076923,1,"277 Elm St",Westfield,MA,"Hampden County",01085
"Hair Crafters",,"602 Lincolnway East","South Bend",IN,46601,574-288-2448,41.669513081633,-86.241348387755,1,"602 Lincolnway E","South Bend",IN,"St. Joseph County",46601
"Hair Depot","Eufora exclusive","5431 Monroe St",Toledo,OH,43623,567-322-7722,41.705971933333,-83.664415,1,"5431 Monroe St",Toledo,OH,"Lucas County",43606
"Hair Designers",,"1578 125Th Ave Ne",Blaine,MN,55449,"(763) 755-9560",45.197291326531,-93.237008755102,1,"1578 125th Ave NE",Minneapolis,MN,"Hennepin County",55434
"Hair Designs By Felice",,"830 Sw 11Th Court","Fort Lauderdale",FL,33315,954-522-1289,26.108235510204,-80.152592081633,1,"830 SW 11th Ct","Fort Lauderdale",FL,"Broward County",33315
"Hair Doo Voodoo",,"3150 18Th Street Box","San Francisco",CA,94110,415-864-1100,,,0,,,,,
"Hair Envy Salon And Spa",,"1890 Wayzata Blvd","Long Lake",MN,55356,"(952) 476-0355",44.985483230769,-93.570344153846,1,"1890 Wayzata Blvd","Long Lake",MN,"Hennepin County",55356
"Hair Extraordinaire","Eufora exclusive","1255 South Monroe","Green Bay",WI,54301,"(920) 435-7777",44.42504,-88.111252,0.33," ","Green Bay",WI,"Brown County",54344
"Hair Fair","Eufora exclusive","320 Willow St",Meadville,PA,16335,814-333-9400,41.631692333333,-80.153016,1,"320 Willow St",Meadville,PA,"Crawford County",16335
"Hair For You",,"737 East Dundee","Arlington Hts",IL,60004,"(847) 259-4968",41.43043,-89.240006,0.22," ",Arlington,IL,"Bureau County",61312
"Hair In The Works","Eufora semi exclusive","715 So Main St",Bradford,MA,1835,978-374-1909,42.769535,-71.075891,0.3," ",Bradford,MA,"Essex County",01835
"Hair It Is",,"175 Front Street",Vestal,NY,13850,607-748-8822,42.083576378378,-76.059378027027,1,"175 Front St",Vestal,NY,"Broome County",13850
"Hair It Is",,"5421 West Genesee Street",Camillus,NY,13031,315-488-4078,43.04089,-76.278349,1,"5421 W Genesee St",Camillus,NY,"Onondaga County",13031
"Hair Lounge On Cedros","Eufora exclusive","112 South Cedros","Solana Beach",CA,92075,858-755-4522,33.007075,-117.256769,0.33," ","Solana Beach",CA,"San Diego County",92075
"Hair Lounge on Main",,"315 Main St",Pineville,NC,28134,704-322-8335,35.085643428571,-80.890512285714,1,"315 Main St",Pineville,NC,"Mecklenburg County",28134
"Hair Market",,"6820 Piedmont Center Plaza",Gainesville,VA,20155,703-753-5771,38.809196929893,-77.625912814703,1,"6820 Piedmont Center Plz",Gainesville,VA,"Prince William County",20155
"Hair Of The Gods",,"324 Fell Street","San Francisco",CA,94102,415-863-9622,37.775791428571,-122.42403014286,1,"324 Fell St","San Francisco",CA,"San Francisco County",94102
"Hair On The Avenue",,"3459 Penn Ave","Sinking Springs",PA,19608,610-927-3772,40.327315,-76.011049,0.2," ","Sinking Spring",PA,"Berks County",19608
"Hair Party",,"2111 W Belmont",Chicago,IL,60618,773-857-3720,41.883073,-87.629149,0.33," ",Chicago,IL,"Cook County",60602
"Hair Port",,"223 Main Street","Port Jefferson",NY,11777,631-473-1215,40.946561142857,-73.066916163265,1,"223 Main St","Port Jefferson",NY,"Suffolk County",11777
"Hair Port",,"309 Tenth Street",Fairmont,WVA,26554,"(304) 366-1700",,,0,,,,,
"Hair Productions By Jen And Co",,"1043 Devonshire South",Sycamore,IL,60178,"(815) 899-8012",41.98892,-88.68675,0.33," ",Sycamore,IL,"DeKalb County",60178
"Hair Proz","Eufora semi exclusive","14415 Excelsior Blvd",Minnetonka,MN,55345,"(952) 939-9835",44.904662929293,-93.464925949495,1,"14415 Excelsior Blvd",Minnetonka,MN,"Hennepin County",55345
"Hair Studio 14",,"125 Mill Street Suite14",Occoquan,VA,22125,703-492-1461,38.683045715221,-77.258796599836,1,"125 Mill St",Occoquan,VA,"Prince William County",22125
"Hair Systems By Calabretta",,"5714 Pearl Rd",Parma,OH,44129,440-888-4540,41.40668,-81.741976,1,"5714 Pearl Rd",Cleveland,OH,"Cuyahoga County",44129
"Hair Trend","Eufora semi exclusive","539 Benfield Rd Suite 1","Severna Park",MD,21146,410-544-3226,39.082067,-76.58337,1,"539 Benfield Rd","Severna Park",MD,"Anne Arundel County",21146
"Hair Unlimited",,"684 Forest Ave",Portland,ME,4103,207-772-7000,43.671154863636,-70.284544818182,1,"684 Forest Ave",Portland,ME,"Cumberland County",04103
"Hair We Are","Eufora semi exclusive","257 E 6th St Suite A",Beaumont,CA,92223,951-845-4511,33.929385571429,-116.97917071429,1,"257 E 6th St",Beaumont,CA,"Riverside County",92223
Hairchitects,"Eufora semi exclusive","1645 South Bascom Suite 1A",Campbell,CA,95008,408-626-7198,37.189396,-121.705327,0.33," ",Campbell,CA,"Santa Clara County",95011
"Hairport Salon And Spa","Eufora semi exclusive","40 Pidgeon Hill Drive",Sterling,VA,20165,703-430-3400,,,0,,,,,
"Hairs 2 Us",,"199 A Boulevard","Hasbrouck Heights",NJ,7604,"(201) 393-9030",40.862349,-74.075585,0.33," ","Hasbrouck Heights",NJ,"Bergen County",07604
"Hairworks Salon",,"114 West 4Th Plain Boulevard",Vancouver,WA,98660,360-693-2721,45.678996,-122.720499,0.33," ",Vancouver,WA,"Clark County",98660
"Halinas Hair Salon Inc",,"14432 15 Mile Road","Sterling Heights",MI,48312,586-792-6253,,,0,,,,,
"Halo Hair",,"17 East Main Street",Shiremanstown,PA,17011,"(717) 761-9022",40.223187,-76.954529,1,"17 E Main St","Camp Hill",PA,"Cumberland County",17011
"Hana Salon",,"2606 Union Avenue","San Jose",CA,95124,408-377-0951,37.272679612245,-121.93297295918,1,"2606 Union Ave","San Jose",CA,"Santa Clara County",95124
"Happy Valley Hair",,"2164 Happy Valley Rd","East Springfield",PA,16411,814-922-7455,41.998407,-80.405455,1,"2164 Happy Valley Rd","East Springfield",PA,"Erie County",16411
"Haute Domane",,"1671 East Main Street","Grass Valley",CA,95945,530-477-1009,39.231475285714,-121.04682885714,1,"1671 E Main St","Grass Valley",CA,"Nevada County",95945
"Haven Salon And Spa",,"294 Main St",Huntington,NY,11743,"(631) 923-2211",40.8709742,-73.4281942,1,"294 Main St",Huntington,NY,"Suffolk County",11743
"Head 2 Toes Family Salon","Eufora exclusive","10441 Perry Hwy Suite 14",Wexford,PA,15090,724-933-0029,40.613939588235,-80.054812176471,1,"10441 Perry Hwy",Wexford,PA,"Allegheny County",15090
"Head West Hair Saloon","Eufora semi exclusive","2309 Wager Rd",Erie,PA,16509,814-825-7588,42.098245897959,-79.999623061224,1,"2309 Wager Rd",Erie,PA,"Erie County",16509
"Headbangers The Salon","Eufora semi exclusive","101 W State St",Pendleton,IN,46064,765-778-9944,40.002471050505,-85.746446878788,1,"101 W State St",Pendleton,IN,"Madison County",46064
"Headlines Hair Design","Eufora semi exclusive","3130 N Woodford St",Decataur,IL,62526,217-875-2776,39.858284,-88.938244,0.22," ",Decatur,IL,"Macon County",62526
"Headlines The Salon","Eufora exclusive","121 North El Camino Real Suite C",Encinitas,CA,92024,760-436-1812,33.046109333333,-117.259563,1,"121 N El Camino Real",Encinitas,CA,"San Diego County",92024
"Headstart Hairstyling",,"122 E Main Street",Brandon,WI,53919,"(920) 346-5818",43.735002,-88.789956,1,"122 E Main St",Brandon,WI,"Fond du Lac County",53919
"Heather Hirzel",,"23112 Bradner Rd",Perrysburg,OH,43551,419-693-2010,41.490753654618,-83.434360493976,1,"23112 Bradner Rd",Perrysburg,OH,"Wood County",43551
"Heather Picard At Strands","Eufora exclusive","885 W Fireweed Ln",Anchorage,AK,99503,907-276-7895,61.198781041096,-149.90029583562,1,"885 W Fireweed Ln",Anchorage,AK,"Anchorage Municipality",99503
"Heavenly Hair",,"420 S Scatterfield Rd Suite 3",Anderson,IN,46012,765-649-7133,40.123932826923,-85.652961769231,1,"420 S Scatterfield Rd",Anderson,IN,"Madison County",46012
"Heidi Marie Hair Designers","Eufora semi exclusive","3611 Roosevelt Rd",Kenosha,WI,53144,262-653-2911,42.567717897959,-87.852820306122,1,"3611 Roosevelt Rd",Kenosha,WI,"Kenosha County",53142
"Hello Gorgeous Gilroy","Eufora exclusive","8060 Santa Teresa Boulevard",Gilroy,CA,95020,408-846-0000,37.013414444444,-121.59957666667,1,"8060 Santa Teresa Blvd",Gilroy,CA,"Santa Clara County",95020
"Hennas Hair Studio",,"1450 Frazee Road","San Diego",CA,92108,619-471-4835,32.775506,-117.160157,1,"1450 Frazee Rd","San Diego",CA,"San Diego County",92108
"Hey Red Inc","Eufora semi exclusive","641 Main Street",Laurel,MD,20707,301-490-3400,39.108303408163,-76.853205612245,1,"641 Main St",Laurel,MD,"Prince George's County",20707
"Hg Studio",,"930 Logan St",Noblesville,IN,46060,317-773-8220,40.046545510204,-86.013110734694,1,"930 Logan St",Noblesville,IN,"Hamilton County",46060
"Hilights Hair Studio",,"2409 Main Street",Vancouver,WA,98660,360-695-9723,45.63895961745,-122.67142641611,1,"2409 Main St",Vancouver,WA,"Clark County",98660
"Holly Beaty",,"115 S Willow St",Kenai,AK,99701,907-283-3418,60.557197,-151.251499,1,"115 S Willow St",Kenai,AK,"Kenai Peninsula Borough",99611
"Holly Salon",,"2607 Evanston Ave",Erie,PA,16506,814-835-1104,42.088062771812,-80.129838677852,1,"2607 Evanston Ave",Erie,PA,"Erie County",16506
"Horizon Salon","Eufora semi exclusive","10467 Rt 6N",Albion,PA,16401,814-756-3332,41.894652,-80.311081,0.33," ",Albion,PA,"Erie County",16401
"House Of Alexis","Eufora semi exclusive","6906 Arlington Road",Bethesda,MD,20814,301-654-4288,38.980758545455,-77.098428666667,1,"6906 Arlington Rd",Bethesda,MD,"Montgomery County",20814
"Huinan Schwartz",,"24291 E Orchard Rd Suite D+C472",Aurora,CO,80016,303-974-6444,39.739249,-104.862881,0.33," ",Aurora,CO,"Arapahoe County",80010
"Hush Salon And Day Spa","Eufora semi exclusive","4635 E Lowell Rd",Tucson,AZ,85712,520-327-6753,32.271355,-110.992051,0.33," ",Tucson,AZ,"Pima County",85705
"I Salon",,"10916 W Dodge Rd",Omaha,NE,68154,"(402) 498-9999",41.263374,-96.083831333333,1,"10916 W Dodge Rd",Omaha,NE,"Douglas County",68154
